account_id,customer_name,email,phone,account_type,open_date,home_city,home_lat,home_lon,credit_limit,avg_monthly_txns,risk_tier,last_active,is_dormant,dormant_days,kyc_verified,country
ACC-00201,Christopher Wright,kingpatrick@example.net,001-581-497-3699x356,Business,2023-09-21,"Miami, US",25.77,-80.19,10000,34,Standard,2024-11-22T08:35:33.510762,False,0,True,US
ACC-00202,Angela Moran,harrisonrichard@example.com,+1-506-935-8178,Savings,2026-04-19,"Chicago, US",41.88,-87.63,50000,73,Standard,2024-11-02T02:38:31.504875,False,0,False,US
ACC-00203,Thomas Martin,llarson@example.net,+1-220-810-2761x61249,Business,2023-01-24,"Seattle, US",47.61,-122.33,50000,80,Standard,2024-11-18T04:15:13.816352,False,0,True,US
ACC-00204,Richard Brown,scottgardner@example.org,(670)429-2961x112,Business,2026-05-15,"Austin, US",30.27,-97.74,10000,24,Premium,2024-12-03T02:32:54.597095,False,0,True,US
ACC-00205,Shirley Flores,qyates@example.org,(721)884-0905x366,Business,2023-05-06,"Denver, US",39.74,-104.98,50000,16,Premium,2024-11-22T21:19:44.632864,False,0,True,US
ACC-00206,Catherine Johnson,jennifer67@example.org,634-315-3364x7176,Checking,2023-12-06,"New York, US",40.71,-74.01,25000,31,Standard,2024-12-29T05:34:02.679869,False,0,False,US
ACC-00207,Rachel Ferguson,ryan46@example.net,+1-224-769-9736x535,Business,2024-11-19,"Boston, US",42.36,-71.06,10000,64,Standard,2025-01-06T15:33:51.164124,True,8,True,US
ACC-00208,Maurice Jackson,diane36@example.com,+1-660-818-8308x42873,Business,2023-10-03,"Los Angeles, US",34.05,-118.24,10000,61,High-Risk,2025-01-11T19:38:18.906675,False,0,False,US
ACC-00209,Lynn Hubbard,james01@example.com,690-506-4589,Business,2025-03-13,"Houston, US",29.76,-95.37,10000,9,Standard,2024-12-03T19:01:37.479418,False,0,True,US
ACC-00210,Jennifer Jackson,imurphy@example.com,001-466-982-5434x796,Savings,2024-04-11,"Seattle, US",47.61,-122.33,5000,59,Standard,2025-01-14T06:19:59.323197,False,0,True,US
ACC-00211,Mary Hooper,wendymills@example.org,471-250-9840x95642,Savings,2023-05-27,"Denver, US",39.74,-104.98,10000,71,Premium,2024-12-12T07:50:21.118806,True,33,True,US
ACC-00212,Kristi Carter,xbrown@example.com,531.472.4451,Savings,2024-12-03,"New York, US",40.71,-74.01,15000,74,Premium,2024-10-21T07:09:13.409338,False,0,True,US
ACC-00213,Angela Byrd,mandyhernandez@example.org,4867253999,Business,2025-04-12,"Houston, US",29.76,-95.37,25000,12,Standard,2024-12-14T17:36:46.457059,False,0,True,US
ACC-00214,Jessica Parker,thomasdawn@example.net,001-703-661-3979x1227,Checking,2022-12-25,"Denver, US",39.74,-104.98,50000,57,Standard,2025-01-05T09:03:45.236560,False,0,True,US
ACC-00215,Eric Moore,ibarralisa@example.com,817-661-0529x5550,Checking,2024-06-19,"Houston, US",29.76,-95.37,25000,23,Standard,2024-10-21T02:29:50.245723,False,0,True,US
ACC-00216,Alicia Roy,joanne68@example.net,001-232-586-0334x29160,Checking,2022-01-27,"Austin, US",30.27,-97.74,15000,20,Standard,2024-12-05T07:37:44.239891,False,0,True,US
ACC-00217,Amy Beard,bethanyjordan@example.org,+1-308-767-1293x5627,Checking,2023-12-04,"Chicago, US",41.88,-87.63,50000,11,Standard,2025-01-10T19:16:17.996607,False,0,True,US
ACC-00218,Christine Bond,zcarr@example.org,(373)524-2888,Savings,2022-08-14,"Miami, US",25.77,-80.19,25000,58,Standard,2024-11-06T22:27:39.831637,False,0,True,US
ACC-00219,Jennifer Hoffman,johnwang@example.com,631.200.6053x0424,Savings,2024-04-20,"Houston, US",29.76,-95.37,25000,61,Standard,2024-11-06T09:50:03.177491,False,0,True,US
ACC-00220,Ashley Cooper,heatherschmidt@example.org,800.553.2916x055,Savings,2024-02-08,"Los Angeles, US",34.05,-118.24,5000,45,Standard,2024-11-12T13:55:04.421636,False,0,True,US
ACC-00221,Christopher Walker,kathleen10@example.com,661-757-6868,Savings,2024-12-22,"Los Angeles, US",34.05,-118.24,5000,61,Premium,2024-12-26T04:21:43.698634,False,0,False,US
ACC-00222,David Conrad,josepholiver@example.com,399-233-7780x9416,Savings,2022-10-29,"Dallas, US",32.78,-96.8,15000,66,High-Risk,2024-12-28T18:08:34.970292,True,17,True,US
ACC-00223,Michele Simmons,william39@example.net,+1-914-763-1947,Savings,2026-05-24,"Dallas, US",32.78,-96.8,25000,25,Standard,2024-12-24T19:27:54.341790,False,0,True,US
ACC-00224,Justin Walters,qlee@example.net,001-290-801-5331,Business,2025-07-26,"Denver, US",39.74,-104.98,25000,29,Premium,2024-10-24T15:51:35.361484,False,0,True,US
ACC-00225,Chad Schroeder,yesenia61@example.com,(466)611-4844,Business,2025-01-19,"Los Angeles, US",34.05,-118.24,15000,42,Standard,2025-01-04T02:07:54.122169,False,0,True,US
ACC-00226,Andrea Wells,pamelaharper@example.org,001-484-574-8427x42358,Savings,2024-06-25,"Houston, US",29.76,-95.37,25000,34,Premium,2024-10-20T03:52:22.257667,False,0,True,US
ACC-00227,Justin Harrington,morgankristen@example.com,001-210-561-6711,Checking,2025-10-05,"Austin, US",30.27,-97.74,5000,69,High-Risk,2024-12-10T04:02:22.659044,False,0,True,US
ACC-00228,Corey Thomas,jean28@example.net,+1-931-691-5034x6580,Business,2023-10-24,"Boston, US",42.36,-71.06,10000,70,Premium,2024-10-24T22:15:38.369688,False,0,False,US
ACC-00229,Carlos Warner,melissashepherd@example.net,796.472.9582x88400,Business,2022-01-21,"Dallas, US",32.78,-96.8,25000,64,High-Risk,2024-12-11T11:44:07.908572,False,0,True,US
ACC-00230,Tina Grant,gerald51@example.net,+1-340-956-3202,Business,2023-05-15,"Denver, US",39.74,-104.98,15000,30,Standard,2024-10-21T02:54:39.569244,False,0,False,US
ACC-00231,Jacqueline May,ngreen@example.com,(514)310-5659,Checking,2024-06-08,"Dallas, US",32.78,-96.8,5000,58,Standard,2025-01-03T01:50:58.413272,True,11,True,US
ACC-00232,Desiree Jacobson MD,justinmiles@example.org,+1-488-642-3688,Business,2022-12-06,"Boston, US",42.36,-71.06,50000,78,Standard,2025-01-12T21:38:16.396661,False,0,True,US
ACC-00233,Vincent Johnson,pperez@example.org,243.380.2715x8258,Savings,2021-06-28,"Chicago, US",41.88,-87.63,25000,27,Standard,2024-12-22T20:06:52.894890,False,0,True,US
ACC-00234,Alexis Harris,tcrawford@example.org,909.632.6228,Savings,2025-08-02,"Houston, US",29.76,-95.37,25000,58,High-Risk,2024-11-05T10:47:07.417280,False,0,False,US
ACC-00235,Rose Turner,parksashley@example.com,001-672-449-5205x95836,Checking,2023-12-23,"Houston, US",29.76,-95.37,15000,64,High-Risk,2024-10-18T21:00:48.671998,False,0,True,US
ACC-00236,Michael Le,susan47@example.org,+1-520-643-2028,Savings,2022-09-11,"Miami, US",25.77,-80.19,50000,65,Standard,2024-11-29T01:47:50.841056,False,0,False,US
ACC-00237,Stephen Brooks,adampayne@example.com,475-925-9290x868,Savings,2022-06-23,"Boston, US",42.36,-71.06,50000,6,Standard,2024-11-21T09:46:55.832975,False,0,True,US
ACC-00238,Victoria Mejia,mark31@example.org,436.223.6351,Business,2025-01-14,"Seattle, US",47.61,-122.33,5000,77,High-Risk,2024-10-27T14:15:54.211996,True,79,True,US
ACC-00239,Daniel Daugherty,amorgan@example.org,+1-486-996-5429x2795,Savings,2026-05-16,"New York, US",40.71,-74.01,15000,26,Standard,2024-10-24T18:05:57.170300,False,0,True,US
ACC-00240,Joseph Harper,amanda97@example.org,407.331.5706x6503,Checking,2026-01-29,"New York, US",40.71,-74.01,15000,70,Standard,2024-11-27T18:24:54.652924,False,0,True,US
ACC-00241,Tara Ritter,rodriguezbrianna@example.org,(534)505-0030,Savings,2026-02-10,"Dallas, US",32.78,-96.8,5000,58,Standard,2024-12-05T07:14:58.189832,False,0,True,US
ACC-00242,Paul White,thomas55@example.com,840.671.2903,Savings,2025-04-09,"Chicago, US",41.88,-87.63,15000,51,Standard,2025-01-14T11:29:13.950933,False,0,True,US
ACC-00243,Michael Ruiz,kristin77@example.org,704.789.1510x6502,Checking,2023-03-30,"Los Angeles, US",34.05,-118.24,15000,73,Standard,2024-12-31T09:40:46.808819,False,0,True,US
ACC-00244,Francisco Manning,peter93@example.net,581-217-1131x5653,Checking,2025-08-08,"Chicago, US",41.88,-87.63,10000,74,Standard,2024-11-16T12:26:08.665268,False,0,True,US
