vendor_id,vendor_name,category,address,state,registered_date,days_registered,has_ein,ein_verified,duns_number,contact_email,bank_account,bank_changed,is_shell,address_type,prior_invoices,avg_invoice_amt,kyc_verified
VND-0001,Rivera Inc,Logistics,"33147 Dustin Roads Apt. 407, Port Lisa, NY 51429",TX,2022-10-04,847,True,True,18-487-3331,bruceheidi@larson-ryan.com,ZWXG51197181478158,False,False,Street,17,4201.5,True
VND-0002,"Taylor, Lara and Smith",Consulting,"Regus Office, 69983 Ashley Lodge, Wilmington, DE",NV,2025-01-12,16,False,False,,williamscynthia@howard.net,SWPB71248107569007,True,True,Mail Boxes Etc,2,102556.88,False
VND-0003,Stephenson and Sons,Logistics,"Regus Office, 00317 Michelle Mountains, Wilmington, DE",NV,2025-01-19,9,True,False,,joseingram@martin.com,BHVQ69967849179648,True,True,PO Box,1,35602.36,False
VND-0004,Stevens-Freeman,Hardware,"09710 Jill Branch Apt. 183, Port Ronaldville, TN 50872",CA,2024-02-05,358,True,True,63-644-1855,kimberlycordova@cooke.net,MQRM46841412250399,False,False,Street,39,2613.49,True
VND-0005,"Friedman, Miller and Park",Office Supplies,"091 Joseph Estates, Brucehaven, VA 82285",TX,2024-03-07,327,True,True,15-790-0727,ikramer@jordan.com,MYEB49428110868127,False,False,Street,49,3020.47,True
VND-0006,Lee-Mason,Hardware,"7337 Case Lights Apt. 613, Dawnmouth, MA 84945",FL,2020-08-20,1622,True,True,34-532-5248,fcarter@dominguez.info,SVCI42049668896617,False,False,Street,11,4277.69,True
VND-0007,Ray Group,Logistics,"7626 Dillon Meadow Suite 094, Samuelmouth, TX 74870",CA,2020-06-09,1694,True,True,55-491-5521,jhale@williams.com,KLCV42256079186339,False,False,Street,59,894.95,True
VND-0008,"Gilmore, Park and Bates",Hardware,"96010 Jessica Oval Suite 468, Port Jamesstad, NC 30725",FL,2024-02-21,342,True,True,92-283-4540,boydmichael@thornton-mendoza.com,DRPO66971521734854,False,False,Street,22,2501.41,True
VND-0009,Espinoza-Wright,Office Supplies,"5300 Tammy Point Apt. 906, East Jessicachester, IN 79384",CA,2021-06-28,1310,True,True,53-157-9972,awebb@lopez.com,FALZ74878146819702,False,False,Street,38,753.77,True
VND-0010,"Scott, Moore and Adams",Professional Services,"PSC 7212, Box 8441, APO AP 48782",IL,2022-04-27,1007,True,True,36-452-0872,baueranthony@padilla.biz,EDJZ15439738461201,False,False,Street,38,1615.12,True
VND-0011,Morrison-Boyd,Consulting,"46174 John Views, Port Tyler, CO 93523",NY,2022-04-30,1004,True,True,66-660-3309,philipsimmons@dunn.org,ZLTQ98224721811064,False,False,Street,5,4762.59,True
VND-0012,Russell-Scott,Facilities,"Virtual Office, 4283 Colon Lodge, Wilmington, DE",DE,2025-01-12,16,False,False,,holderdavid@brown-williamson.com,JJDO63651046544044,True,True,WeWork,1,147987.8,False
VND-0013,"Juarez, Bennett and Collins",Software Licenses,"078 Martinez Vista, Michelleton, FM 97801",FL,2020-09-22,1589,True,True,82-930-6706,wbrooks@miller-cooke.net,XHMQ40365785689069,False,False,Street,46,2621.83,True
VND-0014,Mata-Frank,Consulting,"90117 Harris Junctions, Jeffreyside, WY 23815",CA,2024-01-20,374,True,True,55-902-6266,ylopez@arnold.net,SXNE39822612805336,False,False,Street,38,913.21,True
VND-0015,Stevenson and Sons,Facilities,"977 Ruiz Camp, Ethanview, AK 08207",IL,2022-08-10,902,True,True,71-541-6089,devonrodriguez@vargas-scott.biz,PKJW17712041005761,False,False,Street,5,779.89,True
VND-0016,"Porter, Craig and Bradley",IT Services,"347 Stewart Pine, Lake Amyburgh, HI 17945",FL,2020-04-27,1737,True,True,25-325-9406,reyesmicheal@garcia.org,RHYY05635155009002,False,False,Street,20,896.75,True
VND-0017,"Cross, Garcia and Harris",Facilities,"07264 Dale Stream Suite 147, Lake Benjamin, NH 50399",NY,2023-12-13,412,True,True,17-275-8452,hross@byrd-walter.net,QRFN69429753472798,False,False,Street,11,4476.91,True
VND-0018,Hart-Warren,Consulting,"UPS Store, 9014 Hall Gateway, Wilmington, DE",DE,2025-01-19,9,True,False,,woodsalexis@foley.com,HYON65295927760950,True,True,Registered Agent,0,13513.23,False
VND-0019,"Patterson, Johnson and Young",Hardware,"448 Young Route Suite 103, Prattville, WY 99041",NY,2023-04-12,657,True,True,04-721-6816,whitecatherine@griffith-martinez.com,MQET55069714614848,False,False,Street,41,3704.23,True
VND-0020,"Medina, Carter and Stevens",Hardware,"513 William Fords, Lake Jodifort, NE 72609",CA,2021-11-03,1182,True,True,14-759-3424,debrataylor@coleman.info,HRNW28495195904002,False,False,Street,43,4276.44,True
VND-0021,Brewer Ltd,Marketing,"Virtual Office, 733 Charles Estates, Wilmington, DE",WY,2025-01-08,20,False,False,,luis65@perez-morrison.com,HDMK38230923280426,False,True,Mail Boxes Etc,0,12562.21,False
VND-0022,Lee-Brooks,IT Services,"451 Carter Throughway, Port Maryport, NV 01769",TX,2024-05-20,253,True,True,46-608-0890,dboyer@johnson.com,PQUB23702043467790,False,False,Street,5,904.73,True
VND-0023,Curtis and Sons,Logistics,"215 Lucas Parkways, New Debra, AK 11959",FL,2021-09-21,1225,True,True,78-447-5099,williamstamara@jones.com,MXVW44587664960470,False,False,Street,54,2413.24,True
VND-0024,"Bush, Hill and Flores",Hardware,"PO Box, 93645 Nathan Island, Wilmington, DE",NV,2025-01-06,22,False,False,,madelinedean@lynch-griffin.org,NLZT06940088660041,True,True,PO Box,1,37159.2,False
VND-0025,Hansen-Anderson,Marketing,"4520 Amber Crest Apt. 520, Tammystad, KS 20109",CA,2022-03-09,1056,True,True,84-569-9587,gibbskatherine@grant.com,IWJB73219972771885,False,False,Street,60,4546.89,True
VND-0026,"Sparks, Olson and Brown",Marketing,"Registered Agent, 42970 Chelsea Path, Wilmington, DE",WY,2025-01-11,17,False,False,,joshua36@everett.com,HNYH32156558754864,True,True,Regus Office,2,149971.09,False
VND-0027,Rodriguez and Sons,Hardware,"38805 Wiley Green Suite 200, East Luke, KY 27139",NY,2020-05-20,1714,True,True,60-696-4830,pallen@miller.biz,VVKC84928566929281,False,False,Street,37,2905.19,True
VND-0028,Thompson-Fox,Facilities,"514 Jones Prairie Apt. 509, North Victoriabury, NV 52792",IL,2023-02-26,702,True,True,80-011-4564,rwilliams@graves.com,NFXY44432635170113,False,False,Street,58,3681.13,True
VND-0029,Brown Inc,Marketing,"92755 Nicole Terrace, Ashleyport, DC 90442",FL,2024-02-22,341,True,True,40-823-7464,willieheath@mills.com,EPYJ95486961542155,False,False,Street,14,1119.04,True
VND-0030,"Garcia, Brennan and Robertson",IT Services,"1410 Brown Crest, Pricefort, LA 82119",TX,2020-09-06,1605,True,True,91-701-6409,castanedacourtney@benson.com,MSFN13462325017099,False,False,Street,57,3149.89,True
VND-0031,Nash-Mays,Professional Services,"4670 Barry Via, Lake Gary, MH 09075",FL,2020-10-15,1566,True,True,14-490-8059,greenmonica@bush-powell.com,VEUX92810984568870,False,False,Street,38,599.51,True
VND-0032,"Hess, Smith and Johnson",Office Supplies,"049 Valerie Club, Lake Christine, PW 59126",TX,2021-04-18,1381,True,True,30-865-7493,jessicacoleman@williams.com,SVGI23530671508530,False,False,Street,22,4074.55,True
